1530 ,028.2126,-14.0052,nan,nan,nan,nan, 0.8367
1532 ,028.1837,-14.0110,21.313, 0.001, 1.884, 0.016, 0.8413
3013 ,028.1286,-13.9623,12.764, 0.001,12.314, 0.051, 0.8224
3014 ,028.1263,-13.9535,11.339, 0.001,10.233, 0.008, 0.8474
3015 ,028.2320,-13.9473,nan,nan,nan,nan, 0.8457
5004 ,028.1303,-13.9461,23.131, 0.084, 1.743, 0.093, 0.8292
5010 ,028.1423,-13.9383,22.933, 0.209, 2.011, 0.221, 0.8691
5011 ,028.1434,-13.9383,23.142, 0.231, 1.453, 0.234, 0.8691
5015 ,028.2067,-13.9774,21.081, 0.080, 3.189, 0.083, 0.8460
5020 ,028.2252,-13.9800,19.967, 0.052, 2.849, 0.063, 0.8387
5027 ,028.1986,-14.0130,nan,nan,nan,nan, 0.8381
5034 ,028.1817,-13.9774,22.434, 0.149, 2.974, 0.149, 0.8304
5042 ,028.1825,-14.0094,nan,nan,nan,nan, 0.8287
5049 ,028.1794,-13.9080,nan,nan,nan,nan, 0.8447
5063 ,028.1954,-13.9024,nan,nan,nan,nan, 0.8402

