# ID           RA              DEC              zmag_auto     zmag_col      Ks_col        z50              z025             z975             zspec            lmass         density
G014147        28.009129       -14.203046       21.9159       21.9900       19.5861       0.68120000       0.67050000       0.69000000       -1.0000000       9.69616      0.311561
G013984        28.246874       -14.203590       22.7505       22.7437       21.0114       0.76230000       0.75340000       0.77160000       -1.0000000       9.44731       3.60919
G014348        28.025267       -14.203660       20.7428       20.8674       17.7952       0.75540000       0.74530000       0.76470000       -1.0000000       10.9421       7.57126
G013983        28.281578       -14.203716       22.7095       22.7136       20.2580       0.88210000       0.87240000       0.88960000       -1.0000000       9.46120       3.44016
G014299        28.080486       -14.203210       21.2800       21.3846       18.4362       0.75240000       0.74540000       0.75980000       -1.0000000       10.1984       2.74553
G014370        28.105350       -14.203004       21.4214       21.5368       18.8577       0.83060000       0.81140000       0.87150000       -1.0000000       10.1971       13.3591
G014463        27.981412       -14.201271       23.0927       23.0786       19.8426       0.78370000       0.75890000       0.90190000       -1.0000000       10.1958      0.828020
G014679        28.051712       -14.203261       20.2706       20.5273       17.7100       0.64320000       0.62720000       0.65490000       -1.0000000       10.8233      0.895474
G014484        28.113532       -14.201610       23.1029       23.3374       20.8395       0.85170000       0.84010000       0.89570000       -1.0000000       8.89616       17.3792
G014661        28.097192       -14.200616       22.2467       22.2458       19.9699       0.87420000       0.86050000       0.88910000       -1.0000000       9.67618       5.01715
G014472        28.049117       -14.201494       22.3983       22.3914       19.9029       0.81730000       0.77530000       0.86480000       -1.0000000       10.0754       3.25204
G014641        28.261119       -14.201450       21.7407       21.8206       19.8671       0.86390000       0.84710000       0.87880000       -1.0000000       9.79894       4.57723
G014531        28.301118       -14.201399       23.1770       23.3227       21.1033       0.67480000       0.66550000       0.68930000       -1.0000000       9.62325       1.65744
G014749        28.122574       -14.202374       20.5453       20.7368       17.9946       0.76760000       0.75800000       0.77910000       -1.0000000       10.4093       4.22587
G014775        28.256961       -14.201354       21.0534       21.2512       18.9632       0.80790000       0.79460000       0.82600000       -1.0000000       10.0744       3.48889
G014873        28.116088       -14.199836       22.9166       22.9231       99.0000       0.81780000       0.79720000       0.83910000       -1.0000000       9.74339       24.6403
G015042        28.307990       -14.200357       22.3158       22.4698       19.7658       0.60470000       0.56300000       0.61390000       -1.0000000       10.0907       1.15688
G015057        28.037455       -14.198432       23.1630       23.1242       21.0640       0.89700000       0.87410000       0.91610000       -1.0000000       9.29893      0.919425
G014812        28.258554       -14.200022       23.1311       23.1203       20.1785       0.84880000       0.82800000        1.0168000       -1.0000000       9.84336       6.96321
G014879        28.024369       -14.199677       22.3679       22.3422       19.9513       0.77640000       0.76590000       0.78890000       -1.0000000       9.59245       10.9891
G015043        28.214037       -14.198820       22.0017       22.0112       18.6777       0.81210000       0.78600000       0.84080000       -1.0000000       10.4804       5.33120
