# ID    RA         DEC         Z      EL TYPE AUTO_R ERR_AUTO_R AP_R   ERR_AP_R AUTO_I ERR_AUTO_I AP_I   ERR_AP_I AUTO_Z ERR_AUTO_Z AP_Z   ERR_AP_Z AUTO_J ERR_AUTO_J AP_J   ERR_AP_J AUTO_KS ERR_AUTO_KS AP_KS  ERR_AP_KS STEL_MASS
  498   28.164663  -13.968937  0.8258 0  -5   23.608 0.023      23.97  0.016    22.467 0.01       22.845 0.007    21.9   0.01       22.228 0.007    21.36  0.073      21.494 0.088    20.774  0.071       20.929 0.085     3.6E10   
  509   28.164414  -13.968421  0.867  0  -5   23.886 0.022      24.037 0.017    22.682 0.009      22.818 0.007    21.985 0.008      22.092 0.006    21.577 0.082      21.412 0.086    20.713  0.07        20.567 0.073     5.4E10   
  511   28.14917   -13.968879  0.8362 0  -4   23.977 0.017      23.895 0.02     22.832 0.007      22.747 0.009    22.316 0.008      22.231 0.009    22.454 0.122      21.809 0.105    21.782  0.111       21.06  0.09      1.1E10   
  513   28.167937  -13.967995  0.8275 0  -5   23.477 0.014      23.514 0.012    22.256 0.005      22.288 0.005    21.549 0.005      21.584 0.004    21.242 0.069      20.951 0.068    20.504  0.062       20.23  0.061     6.6E10   
  522   28.204642  -13.967442  0.8489 1  6    22.81  0.013      23.149 0.008    22.252 0.009      22.617 0.006    22.132 0.014      22.445 0.009    21.829 0.092      21.958 0.11     21.545  0.105       21.613 0.117     9.1E9    
  543   28.212533  -13.964702  0.8397 0  0    22.322 0.012      22.842 0.008    21.151 0.005      21.65  0.003    20.581 0.005      21.025 0.003    20.092 0.04       20.319 0.051    19.267  0.035       19.453 0.043     1.4E11   
  547   28.17434   -13.965987  0.846  0  -2   23.648 0.015      23.769 0.013    22.403 0.006      22.517 0.005    21.639 0.005      21.745 0.004    21.296 0.07       21.048 0.071    20.377  0.058       20.143 0.059     8.2E10   
  548   28.178678  -13.965159  0.8371 0  -4   23.334 0.012      23.446 0.009    22.146 0.005      22.243 0.004    21.454 0.004      21.55  0.004    21.084 0.064      20.879 0.066    20.292  0.056       20.092 0.057     7.3E10   
  551   28.150916  -13.96337   0.8362 1  1    22.935 0.017      23.266 0.012    21.689 0.006      22.018 0.004    21.102 0.007      21.398 0.005    20.586 0.051      20.622 0.059    19.711  0.043       19.741 0.049     1.2E11   
  557   28.165981  -13.961334  0.8672 2  3    21.564 0.003      21.65  0.002    20.84  0.002      20.985 0.001    20.227 0.002      20.379 0.001    19.534 0.032      19.384 0.033    18.555  0.025       18.404 0.026     3.4E11   
  571   28.176572  -13.963851  0.8444 0  -4   23.251 0.018      23.632 0.011    22.02  0.007      22.383 0.004    21.286 0.006      21.642 0.004    20.849 0.058      20.938 0.068    20.051  0.051       20.138 0.059     1.0E11   
  595   28.183878  -13.962856  0.8377 0  -5   23.665 0.01       23.719 0.009    22.523 0.004      22.562 0.004    21.891 0.004      21.92  0.004    21.673 0.085      21.373 0.084    20.88   0.073       20.597 0.073     3.5E10   
  598   28.166597  -13.961648  0.8315 0  -5   22.397 0.01       23.043 0.007    21.169 0.004      21.766 0.003    20.451 0.004      21.039 0.002    19.817 0.037      20.248 0.05     19.004  0.032       19.449 0.043     2.7E11   
  626   28.180748  -13.928804  0.8206 0  -2   23.436 0.015      23.428 0.013    22.317 0.007      22.315 0.006    21.784 0.007      21.78  0.006    21.625 0.082      21.251 0.079    20.897  0.073       20.539 0.07      2.2E10   
  648   28.187437  -13.943168  0.8461 0  3    24.119 0.024      24.219 0.019    23.07  0.011      23.173 0.009    22.574 0.012      22.671 0.01     22.227 0.108      22.002 0.111    21.435  0.095       21.197 0.096     2.0E10   
  650   28.1557887 -13.9431083 0.8671 1  8    22.468 0.012      22.908 0.008    21.599 0.007      22.044 0.005    21.252 0.008      21.697 0.006    21.02  0.063      21.186 0.077    20.524  0.063       20.711 0.077     3.7E10   
  654   28.190181  -13.944225  0.8457 0  -2   23.002 0.013      23.396 0.009    21.766 0.005      22.134 0.004    21.101 0.005      21.433 0.003    20.576 0.051      20.651 0.06     19.738  0.043       19.762 0.049     1.3E11   
  663   28.186931  -13.943922  0.8302 0  -5   24.128 0.015      24.063 0.017    22.899 0.006      22.833 0.007    22.301 0.006      22.222 0.006    22.284 0.111      21.581 0.091    21.583  0.101       20.946 0.085     1.5E10   
  679   28.19112   -13.949575  0.8342 0  -5   21.901 0.008      22.625 0.005    20.674 0.003      21.36  0.002    19.971 0.003      20.636 0.002    19.401 0.029      19.861 0.042    18.613  0.026       19.03  0.035     3.9E11   
  682   28.151429  -13.947694  0.8297 0  0    25.097 0.054      25.011 0.057    23.98  0.023      23.91  0.025    23.443 0.024      23.383 0.026    23.393 0.178      22.814 0.153    22.848  0.172       22.104 0.139     4.8E9    
  688   28.181676  -13.948804  0.8339 0  -5   22.944 0.011      23.447 0.007    21.731 0.004      22.208 0.003    21.032 0.004      21.498 0.002    20.505 0.048      20.771 0.063    19.812  0.045       20.028 0.056     1.3E11   
  701   28.187553  -13.950947  0.8352 0  -4   22.05  0.005      22.587 0.003    20.834 0.002      21.324 0.001    20.133 0.002      20.622 0.001    19.612 0.033      19.919 0.043    18.817  0.029       19.081 0.036     3.0E11   
  735   28.145396  -13.952733  0.8311 1  1    24.884 0.042      24.812 0.047    24.012 0.023      23.947 0.025    23.63  0.028      23.565 0.031    23.655 0.214      23.078 0.192    22.811  0.177       22.238 0.157     4.1E9    
  805   28.146661  -13.960352  0.8348 0  3    23.851 0.025      23.926 0.021    22.75  0.011      22.836 0.009    22.354 0.013      22.433 0.011    22.245 0.112      21.972 0.112    21.783  0.115       21.503 0.114     1.1E10   
  811   28.209196  -13.961019  0.8476 1  0    23.814 0.021      23.804 0.019    22.824 0.01       22.824 0.009    22.402 0.012      22.393 0.011    22.108 0.102      21.765 0.099    21.306  0.089       20.984 0.087     1.7E10   
  851   28.1588708 -13.9269696 0.836  1  4    22.597 0.01       22.91  0.006    21.565 0.005      21.916 0.003    21.076 0.005      21.459 0.003    20.658 0.054      20.834 0.066    19.861  0.046       19.987 0.055     8.9E10   
  859   28.156646  -13.908369  0.8402 0  -2   nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan    nan        nan   nan      nan    
  868   28.1952877 -13.9088177 0.8297 1  3    24.104 0.029      24.103 0.024    23.449 0.019      23.46  0.016    23.15  0.025      23.178 0.022    98.986 nan       98.732 nan     98.991  nan        98.752 nan      nan    
  889   28.173828  -13.908959  0.8322 0  -2   22.989 0.011      23.061 0.01     21.806 0.005      21.867 0.004    21.198 0.005      21.258 0.004    98.986 nan       98.732 nan     98.991  nan        98.752 nan      nan    
  895   28.170622  -13.909704  0.8668 0  0    23.089 0.022      23.495 0.017    21.722 0.008      22.106 0.006    21.116 0.008      21.461 0.006    98.986 nan       98.732 nan     98.991  nan        98.752 nan      nan    
  898   28.173511  -13.909368  0.83   1  -1   23.511 0.021      23.621 0.016    22.784 0.013      22.876 0.01     22.481 0.017      22.573 0.013    98.986 nan       98.732 nan     14.416  0.001       14.894 0.001     nan    
  928   28.181158  -13.911667  0.8319 0  -1   23.657 0.018      23.694 0.017    22.468 0.007      22.507 0.007    21.839 0.007      21.869 0.007    98.986 nan       98.732 nan     20.836  0.072       20.43  0.068     4.1E10   
  931   28.210514  -13.953325  0.8349 0  -5   23.929 0.032      24.012 0.026    22.722 0.013      22.814 0.011    22.096 0.013      22.2   0.011    21.887 0.092      21.663 0.095    21.139  0.082       20.926 0.084     1.8E10   
  1006  28.174237  -13.918444  0.8485 1  0    24.493 0.028      24.458 0.034    24.004 0.021      23.941 0.026    23.849 0.032      23.764 0.038    24.285 0.28       23.656 0.262    24.826  0.625       23.236 0.314     7.6E8    
  1067  28.165792  -13.922325  0.8312 0  -4   24.838 0.044      24.762 0.046    23.729 0.019      23.655 0.02     23.205 0.02       23.123 0.021    23.339 0.181      22.674 0.153    22.36   0.145       21.806 0.128     6.1E9    
  1099  28.199942  -13.925269  0.823  0  8    23.624 0.02       23.82  0.013    22.649 0.01       22.88  0.007    22.209 0.012      22.464 0.008    21.899 0.093      21.915 0.107    21.175  0.084       21.215 0.097     2.3E10   
  1102  28.185017  -13.924292  0.8342 0  1    24.39  0.035      24.356 0.032    23.247 0.015      23.247 0.014    22.688 0.015      22.707 0.015    22.687 0.134      22.236 0.124    22.094  0.128       21.613 0.117     9.6E9    
  1112  28.148567  -13.929303  0.8666 1  1    24.424 0.034      24.476 0.025    23.66  0.02       23.792 0.016    23.368 0.027      23.512 0.021    23.674 0.214      23.463 0.219    24.114  0.492       23.828 0.445     2.1E9    
  1131  28.156673  -13.927908  0.8237 1  -1   24.238 0.014      24.16  0.018    23.829 0.011      23.738 0.015    23.464 0.014      23.373 0.019    24.393 0.302      23.475 0.239    24.444  0.423       23.215 0.289     1.7E9    
  1132  28.171437  -13.927847  0.8259 0  -2   23.823 0.02       23.812 0.019    22.77  0.009      22.751 0.009    22.172 0.009      22.147 0.009    21.916 0.094      21.509 0.088    20.973  0.076       20.58  0.072     2.7E10   
  1146  28.165402  -13.930001  0.8641 1  -1   23.769 0.011      23.717 0.012    23.004 0.006      22.952 0.007    22.696 0.008      22.623 0.009    22.928 0.149      22.182 0.121    22.606  0.169       22.134 0.165     6.0E9    
  1151  28.181705  -13.931336  0.833  0  -1   23.781 0.022      23.832 0.019    22.559 0.009      22.602 0.008    21.935 0.009      21.976 0.007    21.603 0.081      21.29  0.08     20.912  0.074       20.609 0.073     2.1E10   
